"","custid","region","townsize","gender","age","agecat","birthmonth","ed","edcat","jobcat","union","employ","empcat","retire","income","inccat","debtinc","creddebt","othdebt","default","jobsat","marital","spoused","spousedcat","reside","pets","pets_cats","pets_dogs","pets_birds","pets_reptiles","pets_small","pets_saltfish","pets_freshfish","homeown","hometype","address","addresscat","cars","carown","cartype","carvalue","carcatvalue","carbought","carbuy","commute","commutecat","commutetime","commutecar","commutemotorcycle","commutecarpool","commutebus","commuterail","commutepublic","commutebike","commutewalk","commutenonmotor","telecommute","reason","polview","polparty","polcontrib","vote","card","cardtype","cardbenefit","cardfee","cardtenure","cardtenurecat","card2","card2type","card2benefit","card2fee","card2tenure","card2tenurecat","carditems","cardspent","card2items","card2spent","active","bfast","tenure","churn","longmon","longten","tollfree","tollmon","tollten","equip","equipmon","equipten","callcard","cardmon","cardten","wireless","wiremon","wireten","multline","voice","pager","internet","callid","callwait","forward","confer","ebill","owntv","hourstv","ownvcr","owndvd","owncd","ownpda","ownpc","ownipod","owngame","ownfax","news","response_01","response_02","response_03","lujo_si"
"11","5621-QSZPSF-NF2","4","1","1",59,"5","Julio",19,"4","1","0",8,"3","0",47,"2",8.6,1.358112,2.683888,"0","3","0",-1,"-1",1,7,3,0,0,0,0,0,4,"0","2",14,"3",3,"1","0",28,"2","0","1","1","1",17,"1","0","0","1","0","0","0","0","0","0","9","4","0","0","1","4","3","4","0",16,5,"1","1","4","0",17,5,11,488.97,7,322.07,"0","3",50,"1",8.55,446.55,"0",0,0,"1",31.2,1568.35,"1",19,930,"0","0",0,"1","0","0","3","0","1","0","0","1","1",26,"1","1","1","0","1","1","0","0","0","0","0","0","0"
"12","8241-PWPONH-62O","2","4","1",33,"3","Octubre",8,"1","2","0",4,"2","0",19,"1",0.9,0.130131,0.040869,"0","4","1",9,"1",5,6,0,0,0,0,0,0,6,"0","2",5,"2",2,"1","1",9.3,"1","0","1","4","3",28,"1","0","0","1","0","0","0","1","0","0","1","4","0","0","0","3","2","1","0",6,3,"2","2","3","0",2,2,14,338.26,2,55.17,"0","3",9,"1",3.6,37,"0",0,0,"0",0,0,"0",0,0,"0","0",0,"0","0","0","0","0","0","0","0","0","1",27,"0","1","1","0","0","0","0","0","0","0","0","0","0"
"13","8795-FYOXCT-P09","5","2","0",44,"4","Marzo",10,"1","1","0",12,"4","0",73,"3",2.8,1.250928,0.793072,"0","5","0",-1,"-1",1,1,0,1,0,0,0,0,0,"1","3",9,"3",1,"1","1",38.5,"2","0","1","1","1",25,"1","0","0","0","0","0","0","0","0","0","9","4","1","0","1","4","4","1","1",1,1,"1","3","1","0",1,1,12,534.36,5,198.39,"0","3",5,"0",6.75,29.9,"0",0,0,"0",0,0,"1",7,30,"0","0",0,"0","0","0","1","1","1","1","1","0","1",21,"1","0","1","0","1","0","0","0","0","0","0","0","0"
"14","1705-NMIQNO-IC4","3","2","0",58,"5","Enero",18,"4","1","0",3,"2","0",63,"3",10.5,1.924965,4.690035,"0","3","0",-1,"-1",1,0,0,0,0,0,0,0,0,"1","4",32,"5",0,"-1","-1",-1,"-1","-1","0","3","2",16,"0","0","1","1","0","0","0","0","0","0","9","4","0","0","1","4","3","4","0",25,5,"3","4","1","0",17,5,10,593.5,5,384.94,"1","1",58,"0",12.1,680.75,"1",30.75,1776.7,"0",0,0,"1",24.5,1415,"0","0",0,"1","0","0","0","1","0","1","1","0","1",21,"1","1","1","0","1","0","0","0","1","0","0","0","0"
"15","9205-PAZEXY-90Q","2","1","1",72,"6","Diciembre",20,"5","4","1",27,"5","1",17,"1",9.8,1.276156,0.389844,"0","4","1",17,"4",2,0,0,0,0,0,0,0,0,"1","1",14,"3",1,"1","1",9.3,"1","0","0","10","5",32,"0","0","0","1","0","0","0","0","0","1","9","3","1","0","1","3","2","2","0",33,5,"4","4","3","1",26,5,12,233.17,3,39.93,"1","3",67,"0",13.9,954.05,"0",0,0,"1",38.55,2580.75,"1",23.25,1525,"0","0",0,"1","0","0","0","0","0","1","0","1","1",24,"1","1","1","0","1","0","1","1","1","0","0","0","0"
"16","4225-PZZDIY-IBH","3","1","1",66,"6","Diciembre",13,"2","6","1",31,"5","1",23,"1",9.3,0.934743,1.204257,"0","5","1",12,"2",2,9,3,0,0,0,0,0,6,"0","2",29,"5",3,"1","0",11.6,"1","0","1","1","1",14,"1","0","0","0","1","0","0","1","0","0","2","2","1","1","1","3","3","4","0",40,5,"4","2","1","0",30,5,9,297.47,4,98.65,"0","2",72,"0",38.7,2854.9,"1",27,1919,"0",0,0,"1",68.5,4865,"1","43.25",3159.25,"1","1","1","1","1","1","1","1","0","1",22,"1","1","1","0","1","0","0","1","1","0","0","1","0"
"17","0758-EQEGIQ-3OF","1","1","1",57,"5","Octubre",17,"4","4","0",24,"5","0",171,"5",9.5,1.803195,14.441805,"0","5","1",16,"3",3,1,0,1,0,0,0,0,0,"1","1",8,"3",2,"1","1",75.8,"3","0","1","1","1",19,"1","1","0","0","0","0","0","0","0","0","9","5","1","0","0","4","1","1","0",19,5,"3","2","4","0",13,4,14,305.94,4,96.23,"1","3",48,"0",4.15,214.85,"1",28.75,1444.65,"1",43.15,1990.25,"1",29.25,1315,"1","40.2",1840.45,"0","1","1","3","1","1","0","1","1","1",17,"1","1","1","1","1","1","1","1","0","0","0","1","1"
"18","0649-TBFJFL-QU4","5","2","0",63,"5","Mayo",14,"2","6","1",29,"5","0",424,"5",10.7,13.111352,32.256648,"0","4","1",20,"5",2,0,0,0,0,0,0,0,0,"1","3",29,"5",3,"1","0",88.6,"3","0","1","1","1",29,"1","0","0","0","1","0","0","0","0","1","9","3","0","0","1","3","3","2","0",36,5,"2","3","3","1",29,5,10,495.75,10,798.31,"0","1",70,"0",34.8,2540.15,"1",45.25,3165.45,"0",0,0,"1",19.75,1325,"0","0",0,"1","1","0","0","1","0","1","1","1","1",24,"1","1","1","0","0","0","0","0","1","0","0","0","1"
"19","2228-KOLOPU-FY3","5","5","1",28,"3","Abril",11,"1","1","0",4,"2","0",23,"1",4.8,0.190992,0.913008,"0","1","1",12,"2",3,10,1,0,0,0,0,0,9,"1","1",5,"2",0,"-1","-1",-1,"-1","-1","1","4","3",30,"0","0","0","1","0","0","0","0","0","1","9","5","1","0","0","2","2","4","0",10,3,"3","3","3","0",10,3,17,442.09,7,144.69,"1","1",34,"0",3.45,110.45,"1",33,1099.65,"0",0,0,"1",16.5,545,"0","0",0,"0","0","0","0","1","1","1","1","0","1",16,"1","1","1","1","0","0","0","0","0","1","0","0","0"
"20","3853-NVDCOJ-TIN","1","1","1",78,"6","Junio",16,"3","1","0",10,"3","1",22,"1",15.2,0.692208,2.651792,"0","3","0",-1,"-1",1,0,0,0,0,0,0,0,0,"0","1",29,"5",2,"1","1",10.8,"1","0","1","3","2",23,"1","0","1","0","0","0","0","0","0","0","9","2","0","1","0","2","3","1","0",10,3,"3","2","2","0",7,3,1,8.11,0,0,"1","1",14,"0",7.3,85.6,"0",0,0,"1",24.85,341.75,"1",31.75,350,"0","0",0,"1","0","0","1","0","0","0","0","1","1",22,"1","1","0","0","1","1","0","0","0","0","0","0","0"
"21","0765-UXAFYM-PDR","3","3","0",61,"5","Junio",16,"3","1","0",4,"2","0",35,"2",10.1,1.233715,2.301285,"0","3","1",12,"2",2,0,0,0,0,0,0,0,0,"0","2",29,"5",4,"0","0",9.4,"1","1","0","1","1",34,"1","0","0","1","0","0","0","0","0","0","9","2","0","0","0","1","4","1","0",27,5,"4","2","3","0",15,4,8,271.98,7,240.38,"0","3",53,"0",11.2,567.05,"0",0,0,"0",0,0,"1",9.5,480,"0","0",0,"0","1","0","1","1","1","1","1","0","1",25,"1","1","1","0","1","1","1","0","0","0","0","0","0"
"22","9937-SFPLRK-H9Y","2","4","0",70,"6","Septiembre",17,"4","2","1",2,"2","0",28,"2",9.3,1.195236,1.408764,"0","1","1",17,"4",2,9,0,0,1,0,0,0,8,"0","2",14,"3",5,"1","0",15.7,"1","0","1","1","1",29,"1","0","0","0","0","0","0","0","0","0","9","6","1","0","1","1","1","3","1",26,5,"4","2","4","0",17,5,8,267.71,3,79.54,"1","2",59,"1",14.25,805.8,"1",23.5,1366.65,"0",0,0,"1",15.25,840,"0","0",0,"1","0","1","3","0","1","0","1","0","1",21,"1","1","1","0","1","0","1","0","0","0","1","0","0"
"23","0712-WQXYVV-HUP","4","1","0",61,"5","Abril",14,"2","6","0",18,"5","1",12,"1",21.5,0.56502,2.01498,"0","5","0",-1,"-1",1,0,0,0,0,0,0,0,0,"1","3",12,"3",3,"1","0",5.8,"1","1","0","4","3",25,"1","0","0","1","0","0","0","0","0","0","9","3","1","0","0","1","1","2","0",24,5,"3","3","1","0",22,5,10,245.03,4,63.63,"0","2",61,"0",8.35,476.95,"0",0,0,"1",29.1,1790.8,"1",11.5,675,"0","0",0,"0","0","0","3","0","1","0","0","0","1",13,"1","0","1","0","1","0","1","0","0","0","0","0","0"
"24","6441-FJUWZQ-7G8","3","4","0",37,"4","Agosto",11,"1","1","1",2,"2","0",29,"2",15.7,3.319137,1.233863,"1","3","0",-1,"-1",1,0,0,0,0,0,0,0,0,"0","2",10,"3",0,"-1","-1",-1,"-1","-1","1","5","3",29,"0","0","0","1","1","0","0","0","0","0","9","4","0","0","0","5","1","2","1",12,4,"4","2","2","0",11,4,17,556.61,7,187.47,"1","1",39,"0",13.1,504.45,"1",28.5,1028.1,"1",43.5,1663.95,"1",10.5,380,"1","31.5",1199.2,"1","1","1","4","1","1","1","1","1","1",21,"0","1","1","1","1","1","1","0","1","0","0","0","0"
"25","7634-AVNEXZ-7AG","1","3","0",39,"4","Octubre",12,"2","1","0",5,"2","0",130,"5",11.3,4.68611,10.00389,"0","5","1",14,"2",4,5,0,0,0,0,0,0,5,"1","1",12,"3",2,"1","0",49.2,"3","1","0","1","1",32,"1","0","0","1","1","0","0","0","0","0","9","1","1","1","1","4","4","4","1",2,2,"3","2","2","0",1,1,12,453.74,5,245.14,"0","1",6,"0",1.5,11.15,"1",13.25,93,"0",0,0,"1",24.5,140,"0","0",0,"0","0","0","1","1","0","1","1","0","1",32,"1","1","1","0","1","1","0","0","0","0","0","0","1"
"26","2041-PNMGHX-TXJ","4","3","1",73,"6","Noviembre",14,"2","3","0",28,"5","1",69,"3",14.8,1.164168,9.047832,"0","3","1",15,"3",2,0,0,0,0,0,0,0,0,"0","2",38,"5",1,"1","1",22.8,"2","1","0","1","1",27,"1","0","0","1","0","0","0","1","0","0","9","5","0","0","0","2","2","3","0",32,5,"3","2","4","1",24,5,6,212.67,2,80.44,"0","3",62,"0",25.45,1565.6,"1",17.75,1031.4,"1",47.15,2874.15,"1",10,595,"1","53.2",3245.6,"1","1","1","2","1","1","1","1","1","1",22,"1","1","1","1","1","1","1","0","1","0","0","0","0"
"27","4626-BQZAUJ-V9K","5","4","1",26,"3","Junio",16,"3","2","0",0,"1","0",24,"1",11.7,1.297296,1.510704,"1","2","1",17,"4",6,1,0,1,0,0,0,0,0,"0","2",5,"2",4,"0","0",9.8,"1","0","0","1","1",27,"1","0","0","0","0","0","0","0","0","0","9","6","1","1","0","4","1","1","1",8,3,"1","2","3","0",4,2,14,447.67,5,101,"1","3",26,"1",5.8,149.4,"0",0,0,"1",27.05,728.55,"1",5.5,145,"0","0",0,"1","0","0","4","0","0","0","0","1","1",17,"1","1","1","0","1","1","1","1","0","0","0","0","0"
"28","2969-ODPCDX-5DC","2","1","1",24,"2","Abril",17,"4","6","0",1,"1","0",29,"2",14,1.39258,2.66742,"1","1","0",-1,"-1",1,12,0,1,0,0,0,0,11,"1","1",4,"2",0,"-1","-1",-1,"-1","-1","0","10","5",14,"0","0","1","0","0","0","1","1","0","1","9","6","0","1","1","4","1","4","0",5,2,"3","3","1","0",5,2,11,279.95,1,24.55,"1","1",11,"1",3.95,42.4,"0",0,0,"1",19.65,172.75,"0",0,0,"0","0",0,"0","0","0","0","0","0","0","0","0","1",13,"1","1","1","0","0","1","1","0","0","0","1","0","0"
"29","4974-FUBHDF-Z7L","3","1","1",77,"6","Mayo",15,"3","1","0",26,"5","1",11,"1",10.2,0.255816,0.866184,"0","5","0",-1,"-1",1,2,0,2,0,0,0,0,0,"1","4",57,"5",2,"1","0",3.1,"1","0","0","1","1",21,"1","0","0","1","1","0","0","0","0","0","9","2","1","1","0","2","1","1","0",39,5,"4","4","1","0",30,5,10,194.95,5,107.06,"1","2",72,"0",89.45,6495.7,"1",75.5,5310.55,"0",0,0,"1",40.75,2865,"0","0",0,"1","0","0","0","1","1","0","0","0","1",23,"1","1","1","0","0","0","0","0","1","0","0","0","0"
"30","2525-OSULNV-0KS","5","3","0",36,"4","Marzo",19,"4","1","1",3,"2","0",30,"2",15.5,0.41385,4.23615,"0","4","0",-1,"-1",1,7,0,0,0,0,0,0,7,"1","3",16,"4",3,"1","0",13.1,"1","0","1","1","1",24,"1","1","0","0","0","0","0","0","0","0","9","1","1","1","1","1","1","3","0",10,3,"2","1","4","0",11,4,11,300.97,6,178.9,"0","3",37,"0",6.7,233.85,"0",0,0,"0",0,0,"0",0,0,"0","0",0,"0","0","0","2","0","0","0","0","0","1",15,"1","1","1","0","1","1","1","0","0","0","0","0","0"
"31","4973-FHPBZQ-AAA","3","5","0",55,"5","Diciembre",14,"2","3","0",23,"5","0",80,"4",6.5,0.0312,5.1688,"0","5","0",-1,"-1",1,9,2,0,0,0,0,0,7,"1","3",27,"5",4,"1","0",35,"2","0","1","1","1",25,"1","0","1","1","0","0","0","0","1","0","9","6","0","0","0","2","4","3","1",21,5,"4","3","2","0",17,5,11,394.02,3,71.41,"0","1",47,"0",12.25,524.4,"0",0,0,"0",0,0,"1",22.25,1000,"0","0",0,"0","0","0","0","0","0","1","1","0","1",25,"1","1","1","0","1","0","1","0","1","0","1","0","0"
"32","4726-RQKGNB-WAK","2","2","1",60,"5","Marzo",18,"4","1","0",13,"4","0",51,"3",7.8,1.209312,2.768688,"0","5","1",13,"2",2,2,2,0,0,0,0,0,0,"0","2",27,"5",2,"1","0",25.2,"2","0","1","1","1",26,"1","0","1","1","0","0","0","0","0","0","9","6","1","1","0","4","2","2","0",38,5,"2","4","3","1",29,5,9,112.47,2,44.52,"1","3",71,"0",36.35,2586.85,"1",51.25,3624.85,"1",55.15,4064.25,"1",28.5,2090,"1","55.8",3819.5,"1","1","1","4","0","0","1","0","1","1",20,"1","1","1","0","1","1","1","1","1","0","0","1","0"
"33","6592-QBSENI-6Y4","1","1","1",59,"5","Febrero",8,"1","2","1",4,"2","0",30,"2",2.8,0.26292,0.57708,"0","5","1",10,"1",4,1,0,1,0,0,0,0,0,"0","2",6,"2",0,"-1","-1",-1,"-1","-1","1","4","3",15,"0","0","0","1","0","0","0","0","0","0","9","4","1","1","0","2","1","1","1",2,2,"1","2","2","1",1,1,11,342.17,4,101.97,"0","1",3,"0",5.5,19.35,"1",19.75,52.6,"0",0,0,"1",30,45,"0","0",0,"0","0","0","0","1","1","1","1","0","1",29,"1","1","0","0","0","0","0","0","0","0","0","0","0"
"34","5538-DRGHIE-PF0","1","1","0",28,"3","Octubre",11,"1","2","1",1,"1","0",17,"1",8.2,0.150552,1.243448,"1","2","1",14,"2",6,1,1,0,0,0,0,0,0,"0","1",5,"2",3,"1","0",8.2,"1","0","0","1","1",23,"1","0","0","0","0","0","0","0","0","0","9","5","1","0","1","3","1","2","0",7,3,"5","4","1","0",6,3,10,381.14,2,73.22,"1","3",16,"0",7.85,116.3,"0",0,0,"0",0,0,"0",0,0,"0","0",0,"0","0","0","0","0","0","1","0","0","1",30,"1","0","0","0","0","0","1","0","0","0","0","0","0"
"35","3550-PQUPPM-42T","3","3","0",53,"5","Agosto",20,"5","2","0",11,"4","0",141,"5",9.9,9.589833,4.369167,"0","5","1",17,"4",3,1,0,1,0,0,0,0,0,"1","1",20,"4",0,"-1","-1",-1,"-1","-1","0","10","5",23,"0","1","0","0","0","0","0","1","0","1","9","6","1","1","1","4","2","1","0",13,4,"1","4","3","0",8,3,11,445.9,3,198.77,"0","3",36,"1",3.4,122,"1",29,1042.4,"1",49.25,1693.6,"1",22.25,790,"1","61.25",2209.2,"1","1","1","3","1","1","1","1","1","1",10,"1","1","1","1","1","1","1","1","0","0","0","0","0"
"36","9809-NBCXAS-1RB","4","5","0",36,"4","Agosto",12,"2","2","0",5,"2","0",45,"2",8.3,0.88893,2.84607,"1","4","0",-1,"-1",2,3,0,0,3,0,0,0,0,"0","2",6,"2",3,"1","0",21.2,"2","1","0","1","1",26,"1","0","0","1","0","0","0","1","1","0","1","2","1","0","1","4","1","1","0",13,4,"1","1","2","0",11,4,13,461.15,9,305.7,"0","3",38,"0",6.75,244.7,"0",0,0,"1",27.4,1123.6,"0",0,0,"0","0",0,"1","0","0","3","0","0","0","0","1","1",29,"1","1","1","0","1","1","1","0","0","0","0","0","0"
"37","8733-EDAXNE-8DV","3","1","0",47,"4","Febrero",20,"5","5","0",17,"5","0",137,"5",13.7,3.303344,15.465656,"0","4","1",19,"4",2,2,2,0,0,0,0,0,0,"1","1",20,"4",1,"1","1",78.1,"3","0","0","8","4",21,"0","0","1","0","0","0","0","1","0","0","1","7","0","1","1","1","4","1","0",29,5,"4","2","3","0",27,5,8,416.12,8,558.23,"0","3",69,"0",22.05,1473.3,"0",0,0,"1",44.85,2973,"1",28.25,1885,"1","36.45",2475.25,"1","1","1","3","0","1","0","0","1","1",22,"1","1","1","0","1","1","1","0","1","0","1","0","1"
"38","8170-YHWTSQ-825","5","2","0",75,"6","Abril",11,"1","2","0",2,"2","1",10,"1",2.4,0.03888,0.20112,"0","2","0",-1,"-1",1,1,1,0,0,0,0,0,0,"0","2",35,"5",1,"1","0",4.9,"1","1","0","5","3",24,"0","0","0","1","1","1","0","0","0","0","9","3","0","0","0","4","3","4","0",23,5,"2","2","2","0",15,4,17,197.27,4,65.47,"0","2",46,"0",19.8,884.75,"1",24.75,1058,"0",0,0,"1",14,640,"0","0",0,"0","0","0","0","1","1","1","1","0","1",21,"0","0","1","0","1","0","0","0","1","0","1","0","0"
"39","1144-GVCZDP-8DV","2","3","1",49,"4","Febrero",22,"5","1","1",3,"2","0",73,"3",9.2,1.437224,5.278776,"0","3","1",20,"5",5,13,2,0,0,0,0,0,11,"1","1",20,"4",1,"1","1",33.9,"2","1","0","5","3",19,"0","0","0","1","1","0","0","1","0","0","9","4","0","0","1","4","4","3","1",13,4,"2","3","3","0",13,4,4,78.22,1,21.39,"1","1",31,"1",7,238,"1",19.5,598.55,"1",57.25,1740.25,"0",0,0,"1","62.3",1879.25,"1","1","1","4","0","0","0","0","1","1",22,"1","1","1","1","1","1","1","1","0","0","0","0","0"
"40","8846-JJEGFU-I69","1","1","1",59,"5","Mayo",13,"2","1","0",15,"4","0",63,"3",6,0.59346,3.18654,"0","3","0",-1,"-1",1,0,0,0,0,0,0,0,0,"0","2",25,"4",1,"1","0",36.2,"2","1","0","1","1",16,"1","0","1","0","0","0","0","0","0","0","9","4","1","0","0","4","2","3","0",13,4,"3","3","4","0",15,4,9,283.59,3,155.47,"0","1",41,"0",13,479,"1",19.25,775.6,"0",0,0,"1",9,330,"1","19.35",764.35,"0","0","0","2","1","1","1","1","0","1",13,"1","1","1","0","1","1","1","1","0","0","0","1","0"
"41","4226-TEHKPJ-GKG","1","2","1",55,"5","Septiembre",12,"2","3","0",10,"3","0",50,"3",5.1,1.0863,1.4637,"0","2","1",11,"1",3,0,0,0,0,0,0,0,0,"1","1",32,"5",2,"1","0",31.8,"2","0","0","1","1",21,"1","0","0","0","0","0","0","0","0","0","9","4","1","0","0","1","1","3","0",22,5,"3","1","4","0",15,4,11,501.11,2,63.31,"0","2",49,"0",9.3,465.5,"1",53.5,2663.3,"0",0,0,"1",42,2060,"0","0",0,"0","1","0","0","1","1","1","1","0","1",29,"1","1","1","0","0","0","0","0","1","0","0","0","0"
"42","9714-LCYJJB-SCS","5","2","0",25,"3","Abril",14,"2","1","0",1,"1","0",50,"3",10.5,1.218,4.032,"1","2","0",-1,"-1",5,1,0,1,0,0,0,0,0,"0","2",3,"2",0,"-1","-1",-1,"-1","-1","1","8","4",15,"0","0","0","0","1","0","0","1","0","0","9","5","0","0","1","4","4","4","0",7,3,"2","1","1","0",7,3,11,391.97,4,166.43,"1","1",46,"0",14.45,659.35,"0",0,0,"1",29.75,1319.5,"1",26.5,1150,"0","0",0,"1","1","0","2","0","0","0","0","0","1",22,"1","1","1","0","1","0","1","0","1","0","0","1","0"
